News_ID,Date,Country,Headline
1,2021-05-15,Germany,Central banks increase gold reserves in Germany.
2,2021-04-10,USA,Retail gold investments rise sharply in USA.
3,2022-09-23,China,Retail gold investments rise sharply in China.
4,2023-12-30,Germany,Retail gold investments rise sharply in Germany.
5,2021-02-23,China,Retail gold investments rise sharply in China.
6,2022-05-01,India,Gold prices surge as market uncertainty grows.
7,2020-10-25,India,Gold prices surge as market uncertainty grows.
8,2022-02-05,China,Gold prices surge as market uncertainty grows.
9,2022-08-10,China,Retail gold investments rise sharply in China.
10,2022-06-06,UK,Gold prices surge as market uncertainty grows.
11,2021-08-25,UAE,UAE sees highest gold demand in a decade.
12,2022-11-15,Turkey,Gold prices drop amid strong dollar in Turkey.
13,2020-03-23,Germany,Retail gold investments rise sharply in Germany.
14,2021-12-22,USA,USA sees highest gold demand in a decade.
15,2021-09-27,India,Gold prices drop amid strong dollar in India.
16,2020-01-23,India,Gold prices surge as market uncertainty grows.
17,2023-12-27,India,Gold prices drop amid strong dollar in India.
18,2020-05-02,China,Gold prices surge as market uncertainty grows.
19,2021-03-23,UAE,Gold prices drop amid strong dollar in UAE.
20,2020-02-19,China,Retail gold investments rise sharply in China.
21,2021-11-15,Germany,Gold prices drop amid strong dollar in Germany.
22,2021-12-11,Germany,Gold prices drop amid strong dollar in Germany.
23,2021-08-06,China,China sees highest gold demand in a decade.
24,2022-11-24,USA,Gold prices drop amid strong dollar in USA.
25,2022-06-16,USA,Retail gold investments rise sharply in USA.
26,2022-11-18,Germany,Gold prices surge as market uncertainty grows.
27,2023-01-27,UK,Gold prices drop amid strong dollar in UK.
28,2020-05-17,UAE,Central banks increase gold reserves in UAE.
29,2022-02-12,Turkey,Turkey sees highest gold demand in a decade.
30,2024-01-02,UK,Retail gold investments rise sharply in UK.
31,2024-01-19,UK,UK sees highest gold demand in a decade.
32,2020-10-18,India,Central banks increase gold reserves in India.
33,2023-06-17,USA,Retail gold investments rise sharply in USA.
34,2022-03-18,China,Central banks increase gold reserves in China.
35,2020-03-31,USA,USA sees highest gold demand in a decade.
36,2020-09-29,USA,Central banks increase gold reserves in USA.
37,2023-03-11,Germany,Central banks increase gold reserves in Germany.
38,2020-11-06,Germany,Retail gold investments rise sharply in Germany.
39,2023-03-09,UAE,UAE sees highest gold demand in a decade.
40,2020-01-02,India,Gold prices surge as market uncertainty grows.
41,2020-03-17,India,India sees highest gold demand in a decade.
42,2022-09-15,UK,Gold prices surge as market uncertainty grows.
43,2022-08-17,India,Central banks increase gold reserves in India.
44,2022-10-07,UK,Gold prices surge as market uncertainty grows.
45,2023-10-02,USA,Retail gold investments rise sharply in USA.
46,2021-12-02,Turkey,Gold prices drop amid strong dollar in Turkey.
47,2022-02-01,UK,Retail gold investments rise sharply in UK.
48,2023-03-27,China,Gold prices drop amid strong dollar in China.
49,2021-11-08,UAE,UAE sees highest gold demand in a decade.
50,2020-11-14,UAE,Gold prices drop amid strong dollar in UAE.
51,2023-10-29,UAE,UAE sees highest gold demand in a decade.
52,2023-05-01,Turkey,Central banks increase gold reserves in Turkey.
53,2020-02-15,India,Retail gold investments rise sharply in India.
54,2021-07-11,Germany,Germany sees highest gold demand in a decade.
55,2021-09-07,UAE,Retail gold investments rise sharply in UAE.
56,2022-04-08,UK,Gold prices surge as market uncertainty grows.
57,2021-09-07,UAE,UAE sees highest gold demand in a decade.
58,2020-10-30,USA,Gold prices drop amid strong dollar in USA.
59,2021-03-24,India,Central banks increase gold reserves in India.
60,2020-11-09,Germany,Gold prices surge as market uncertainty grows.
61,2023-01-15,UK,Gold prices drop amid strong dollar in UK.
62,2022-04-25,China,Retail gold investments rise sharply in China.
63,2023-03-06,Germany,Germany sees highest gold demand in a decade.
64,2020-06-15,China,Central banks increase gold reserves in China.
65,2023-06-30,India,Retail gold investments rise sharply in India.
66,2020-05-15,UK,UK sees highest gold demand in a decade.
67,2022-06-11,USA,Retail gold investments rise sharply in USA.
68,2022-06-04,Turkey,Central banks increase gold reserves in Turkey.
69,2022-08-27,Germany,Gold prices surge as market uncertainty grows.
70,2022-01-28,China,Gold prices surge as market uncertainty grows.
71,2021-04-27,China,Retail gold investments rise sharply in China.
72,2022-03-22,Germany,Gold prices drop amid strong dollar in Germany.
73,2022-04-10,India,Retail gold investments rise sharply in India.
74,2021-04-26,Turkey,Turkey sees highest gold demand in a decade.
75,2023-06-04,India,Central banks increase gold reserves in India.
76,2020-11-22,China,Gold prices drop amid strong dollar in China.
77,2023-04-30,China,Retail gold investments rise sharply in China.
78,2020-06-18,Turkey,Gold prices surge as market uncertainty grows.
